chr	pos	spec	HepG2	N2a	diff
chr10	133069750	human	-1.8796957	0.5290299	-2.4087256000000004
chr10	133069800	human	-2.1947615	0.6505823	-2.8453437999999998
chr10	133787050	human	-0.9068215	1.5031008	-2.4099223
chr10	133787100	human	-1.455388	0.9979787	-2.4533667
chr11	842900	human	-1.8561513	0.5476458	-2.4037971000000002
chr11	3694500	human	-0.59640026	1.8885359	-2.48493616
chr11	5636900	human	-0.5325504	2.359633	-2.8921834
chr11	9291150	human	-0.8490492	1.3741065	-2.2231557
chr11	17252450	human	-0.5607264	1.7297084	-2.2904348
chr11	20526850	human	-0.7312944	1.5758715	-2.3071659
chr11	30327750	human	-0.673674	2.6168852	-3.2905592
chr11	30913150	human	-0.7035041	1.4735645	-2.1770686
chr11	33029250	human	-0.6270513	1.6129045	-2.2399557999999997
chr11	37878350	human	-0.54854953	1.7653422	-2.31389173
chr11	40325400	human	-0.5319835	2.6397996	-3.1717831
chr11	45743100	human	-1.1937728	1.0063798	-2.2001526
chr11	57667950	human	-1.2370268	1.9696554	-3.2066822
chr11	62851150	human	-0.5475234	1.8683797	-2.4159031
chr11	63383800	human	-0.7218722	1.4635173	-2.1853895
chr11	65127600	human	-1.6284065	0.5092002	-2.1376067
chr11	66804800	human	-0.51361066	1.7727779	-2.28638856
chr11	67119050	human	-2.0677495	0.6407565	-2.708506
chr11	67451800	human	-1.6642032	0.6152494	-2.2794526
chr11	69039000	human	-0.98913455	1.5295871	-2.51872165
chr11	69049100	human	-1.7116828	0.931347	-2.6430298
chr11	69478600	human	-0.7650678	1.2582155	-2.0232833
chr11	82428050	human	-0.5789734	1.8208029	-2.3997763
chr11	85832750	human	-0.6569303	1.4150186	-2.0719488999999998
chr11	88980550	human	-0.67730486	1.5886575	-2.26596236
chr11	100674500	human	-0.9937173	1.1411291	-2.1348464
chr11	107611450	human	-0.75058365	1.6394401	-2.39002375
chr11	109822750	human	-1.4266132	0.69566274	-2.1222759399999997
chr11	111323900	human	-0.5084083	1.6775658	-2.1859741
chr11	111874500	human	-0.7465079	1.4106095	-2.1571174
chr11	131931200	human	-0.6044127	1.4644705	-2.0688832
chr12	2890300	human	-0.83135796	1.2496136	-2.08097156
chr12	5420750	human	-0.6191407	1.426338	-2.0454787000000003
chr12	7741650	human	-0.5959996	1.556603	-2.1526026
chr12	11777000	human	-0.6148539	2.606477	-3.2213309
chr12	14248800	human	-0.52694887	2.137396	-2.66434487
chr12	14280250	human	-0.8547858	1.3436855	-2.1984713
chr12	15022300	human	-0.95000446	1.1968397	-2.14684416
chr12	24385700	human	-0.84234524	1.3953048	-2.23765004
chr12	24895300	human	-0.6921847	1.5552835	-2.2474682
chr12	28076350	human	-0.50472176	3.1255872	-3.63030896
chr12	29297750	human	-0.8651471	1.2684005	-2.1335476
chr12	30724750	human	-0.85855424	1.378435	-2.23698924
chr12	31687450	human	-0.7800983	1.6766413	-2.4567396
chr12	34340100	human	-0.90083086	1.445885	-2.34671586
chr12	38045500	human	-0.7104807	1.5916345	-2.3021152000000003
chr12	39100950	human	-0.52179927	1.564682	-2.08648127
chr12	43824700	human	-0.5141884	1.5037757	-2.0179641
chr12	43920250	human	-0.637333	1.7704055	-2.4077385000000002
chr12	49464250	human	-0.5185499	1.5830823	-2.1016322
chr12	51381000	human	-0.8440074	1.3454944	-2.1895018
chr12	53899650	human	-1.3821132	0.7052529	-2.0873661
chr12	60063550	human	-0.62488425	2.2602465	-2.88513075
chr12	72845750	human	-0.6276102	2.2126474	-2.8402575999999997
chr12	76673300	human	-0.66222954	1.9402516	-2.60248114
chr12	77197400	human	-0.6885997	1.7476308	-2.4362305
chr12	79076700	human	-1.0968425	0.97899985	-2.07584235
chr12	85743350	human	-0.7431108	2.569712	-3.3128228
chr12	93667050	human	-0.5398296	1.791353	-2.3311826
chr12	95954350	human	-0.77756524	1.2813892	-2.05895444
chr12	108857750	human	-1.532935	0.77158344	-2.30451844
chr12	120654650	human	-1.5366774	0.53031904	-2.06699644
chr12	122022100	human	-1.4427143	1.2645762	-2.7072905
chr12	122320500	human	-0.7900512	1.5368202	-2.3268714
chr12	123197550	human	-0.50952417	1.5174329	-2.02695707
chr12	123443550	human	-5.359757	0.67130685	-6.03106385
chr12	123820900	human	-1.3097792	0.91661394	-2.22639314
chr12	124558400	human	-1.1913761	1.0473121	-2.2386882000000004
chr12	128542600	human	-0.7216228	1.3568498	-2.0784726
chr12	130926250	human	-0.51637745	2.0818088	-2.5981862500000004
chr13	18256600	human	-1.0876967	0.9746709	-2.0623676
chr13	30344200	human	-0.99764264	1.4196936	-2.41733624
chr13	30400850	human	-0.56828105	2.010493	-2.57877405
chr13	41227050	human	-0.50018597	2.8391163	-3.33930227
chr13	42864150	human	-0.5446003	1.4939562	-2.0385565
chr13	49590050	human	-0.8551086	1.4793295	-2.3344381
chr13	64984900	human	-0.7212306	1.9946511	-2.7158817
chr13	85562450	human	-0.7604488	1.4462714	-2.2067202000000004
chr13	86436800	human	-0.5270093	1.7822945	-2.3093038
chr13	90222350	human	-0.906342	1.682275	-2.588617
chr13	90697850	human	-0.7582387	1.4112513	-2.16949
chr13	99230800	human	-0.67134655	1.6792608	-2.3506073499999998
chr13	104068250	human	-0.8517568	2.4529922	-3.304749
chr13	109083000	human	-1.3660525	0.65414375	-2.0201962499999997
chr13	109262600	human	-0.7957163	1.2116498	-2.0073661
chr13	110965350	human	1.5690849	-0.546222	2.1153069
chr13	113615650	human	-0.73887753	1.9795324	-2.71840993
chr13	114353950	human	-1.0266035	1.8544943	-2.8810978
chr14	19635550	human	-0.72385156	3.3825703	-4.106421859999999
chr14	19684700	human	-0.6786969	1.4954714	-2.1741683
chr14	21239250	human	-0.5231558	1.4771576	-2.0003134
chr14	22751550	human	1.2072628	-1.4250124	2.6322752
chr14	22912750	human	-0.54138553	2.578665	-3.12005053
chr14	23314100	human	-0.5970251	1.7460676	-2.3430926999999997
chr14	30927050	human	-0.8433083	1.6189183	-2.4622266
chr14	32924900	human	-0.77420306	1.9238408	-2.6980438600000003
chr14	34839600	human	-0.60112643	1.670113	-2.27123943
chr14	34933900	human	-0.522175	1.7774988	-2.2996738
chr14	35227200	human	-0.7391175	1.7496876	-2.4888051
chr14	40192750	human	-0.6920134	1.7512546	-2.4432679999999998
chr14	40873250	human	-0.5755588	1.5075266	-2.0830854
chr14	49842750	human	-0.8280463	1.5105556	-2.3386019
chr14	50304600	human	-0.63333505	1.6355171	-2.26885215
chr14	51470250	human	-0.5984168	2.5807343	-3.1791511
chr14	51790450	human	0.92555195	-2.0562658	2.98181775
chr14	52911400	human	-0.6333396	1.6874443	-2.3207839
chr14	59062950	human	-0.9085263	1.7200584	-2.6285847
chr14	59136550	human	-0.8748354	1.7365654	-2.6114008
chr14	63608850	human	-0.9584017	1.1319815	-2.0903831999999998
chr14	64475200	human	-0.5114766	1.6861782	-2.1976548
chr14	74024200	human	-0.62106234	1.4007273	-2.02178964
chr14	74849050	human	-0.5900209	1.7771037	-2.3671246
chr14	74999700	human	-0.72837496	1.9195784	-2.64795336
chr14	76520750	human	-0.99753535	1.0717341	-2.06926945
chr14	78926500	human	-0.57872194	1.6241589	-2.20288084
chr14	92638350	human	-1.1228366	1.1760948	-2.2989314
chr14	94269450	human	-0.6327358	1.4519814	-2.0847172
chr14_GL000009v2_random	193900	human	-0.89512944	1.3893499	-2.28447934
chr14_GL000194v1_random	184450	human	-0.55297965	1.5047029	-2.05768255
chr14_KI270724v1_random	28400	human	-3.0122142	0.638651	-3.6508651999999997
chr15	19864750	human	-0.62146217	2.9092977	-3.5307598700000002
chr15	20282400	human	-1.1246158	0.9768212	-2.1014369999999998
chr15	20510800	human	-0.8222494	1.6490865	-2.4713358999999997
chr15	23283500	human	-0.57258105	1.4628438	-2.03542485
chr15	29029850	human	-1.025465	1.136613	-2.162078
chr15	30315000	human	-0.6056579	1.5489875	-2.1546453999999997
chr15	32787600	human	-0.7565448	1.7714415	-2.5279863
chr15	39196950	human	-0.6170958	1.5727885	-2.1898843
chr15	42384150	human	-0.51648974	1.5316697	-2.04815944
chr15	45866950	human	-0.56113863	1.4654309	-2.02656953
chr15	52139050	human	-1.0937728	1.0254722	-2.1192450000000003
chr15	56249450	human	-1.0018649	1.0756639	-2.0775287999999996
chr15	59657850	human	-0.6949123	1.307811	-2.0027233
chr15	65797250	human	1.7948462	-0.9625082	2.7573544
chr15	66970750	human	-0.52176887	1.6132723	-2.13504117
chr15	73403650	human	-1.5674658	0.9884465	-2.5559123
chr15	73987150	human	-1.4876418	0.5151287	-2.0027705
chr15	75963400	human	-0.99177206	1.6912482	-2.68302026
chr15	76733400	human	-1.2880456	0.9399477	-2.2279933
chr15	77836100	human	-0.696867	1.3078904	-2.0047574
chr15	77962550	human	-0.5094272	2.714514	-3.2239411999999996
chr15	83355600	human	-0.81313956	1.4009763	-2.2141158599999997
chr15	84140100	human	-0.767334	1.3035493	-2.0708833
chr15	91270850	human	-1.5097462	0.5724131	-2.0821593
chr15	93343300	human	-0.50140315	1.9228773	-2.42428045
chr15	93752900	human	-0.82104206	1.2890849	-2.11012696
chr15	96058800	human	-0.5380221	1.9342256	-2.4722477
chr15	97047100	human	-0.65367174	1.9589971	-2.61266884
chr15	97412250	human	-0.6705873	1.4767607	-2.147348
chr15	97960900	human	-0.6368655	1.6622007	-2.2990662
chr15	101695950	human	-0.5936949	1.4223013	-2.0159962
chr16	1383050	human	-0.5570846	1.4512074	-2.008292
chr16	1704250	human	-0.57564443	1.7626898	-2.33833423
chr16	2316050	human	-0.527833	2.0385032	-2.5663362000000003
chr16	2404750	human	-0.6822709	1.6449039	-2.3271748
chr16	2440850	human	-0.825951	1.5750487	-2.4009997
chr16	2474000	human	-1.5136424	0.52250254	-2.03614494
chr16	2905500	human	-1.817327	0.7195879	-2.5369148999999998
chr16	3093250	human	-0.5152843	1.6101856	-2.1254699
chr16	4145000	human	-0.739944	2.095675	-2.835619
chr16	4627550	human	-0.7088841	1.8709813	-2.5798654
chr16	6574800	human	-0.56357694	2.4883904	-3.05196734
chr16	14589300	human	-0.61008847	1.4954858	-2.10557427
chr16	18946950	human	-0.72195995	1.4745936	-2.19655355
chr16	20883300	human	-0.7921821	1.5449643	-2.3371464
chr16	29362150	human	0.6517436	-1.4115739	2.0633175
chr16	31173800	human	-0.6225762	1.4575372	-2.0801134
chr16	31377800	human	-1.3639698	0.7461964	-2.1101662
chr16	31646950	human	-0.5146673	1.9064475	-2.4211148000000002
chr16	35883850	human	-0.67694604	1.3398001	-2.01674614
chr16	52014350	human	-0.83345294	1.4712307	-2.30468364
chr16	57130000	human	-0.869763	2.119243	-2.989006
chr16	58688900	human	-0.65924346	1.3969483	-2.05619176
chr16	68525050	human	-1.4577991	0.596689	-2.0544881
chr16	71834900	human	-0.62910837	1.4053472	-2.03445557
chr16	72871850	human	-0.6242507	1.6709301	-2.2951808000000002
chr16	75487550	human	-0.756392	1.7651557	-2.5215477
chr16	76633950	human	-1.0054071	1.1597086	-2.1651157000000003
chr16	77182150	human	-0.5916906	1.4620332	-2.0537238
chr16	77756750	human	-0.5971507	1.4068716	-2.0040223
chr16	78418100	human	-0.6108991	1.6545203	-2.2654194
chr16	83527200	human	-0.50852597	1.8617058	-2.37023177
chr16	85020650	human	-0.60214	1.6637263	-2.2658663
chr16	87798450	human	-0.50534153	1.7413954	-2.24673693
chr16	89996000	human	1.9703304	-0.51718867	2.48751907
chr16_KI270728v1_random	634150	human	-1.5270668	0.5023619	-2.0294287
chr17	1990450	human	-0.836609	1.2374735	-2.0740825
chr17	2967000	human	-1.2823049	0.7474855	-2.0297904
chr17	3258600	human	-0.6966802	1.3824337	-2.0791139
chr17	3654750	human	-0.8035821	1.2667235	-2.0703055999999997
chr17	4867550	human	-0.5263199	1.5010098	-2.0273297
chr17	5685100	human	-0.61993	1.391169	-2.011099
chr17	12098250	human	-0.5872024	4.179417	-4.7666194
chr17	14204850	human	-0.82098484	1.5768479	-2.39783274
chr17	16239100	human	-0.61854136	1.6685369	-2.2870782600000004
chr17	16954150	human	-0.55933106	1.6003139	-2.15964496
chr17	18788100	human	-0.52455	1.6727026	-2.1972526
chr17	18975950	human	-0.561472	1.5304916	-2.0919635999999997
chr17	20107400	human	0.5708585	-1.8179961	2.3888546
chr17	20663000	human	-0.5638995	1.6808714	-2.2447709
chr17	21128450	human	-0.5690049	1.9693295	-2.5383344
chr17	26820150	human	-2.5262697	0.5810827	-3.1073524
chr17	26859750	human	-5.359757	0.67130685	-6.03106385
chr17	26859800	human	-5.359757	0.67130685	-6.03106385
chr17	26859850	human	-5.359757	0.67130685	-6.03106385
chr17	26859900	human	-5.359757	0.67130685	-6.03106385
chr17	26859950	human	-5.359757	0.67130685	-6.03106385
chr17	31040750	human	-0.6216681	1.4601022	-2.0817702999999996
chr17	31866350	human	-0.6290468	1.855028	-2.4840748
chr17	32189050	human	-0.5762347	2.1744733	-2.750708
chr17	32916950	human	-0.7757708	1.5828042	-2.358575
chr17	40172600	human	-0.56746703	1.5273862	-2.09485323
chr17	40277300	human	-0.70711446	1.5073436	-2.21445806
chr17	42180950	human	1.827313	-1.0108964	2.8382094
chr17	42919550	human	-0.5064339	1.665315	-2.1717489
chr17	43050350	human	-0.7077372	1.6361077	-2.3438448999999997
chr17	43537000	human	-1.0715109	1.0280216	-2.0995325
chr17	44124900	human	-0.6769991	1.8868833	-2.5638824
chr17	44837100	human	-0.9991623	1.3939695	-2.3931318
chr17	45275200	human	-0.7393209	1.3264961	-2.065817
chr17	50836250	human	-1.3229748	0.74057555	-2.06355035
chr17	50836450	human	-1.6629004	0.6009649	-2.2638653
chr17	55438750	human	-0.73520947	1.6899856	-2.42519507
chr17	56721800	human	1.5499488	-0.6666955	2.2166443
chr17	62172500	human	-0.90635765	1.8323798	-2.73873745
chr17	63169850	human	-0.57452995	1.4821173	-2.05664725
chr17	69407500	human	-0.6836729	1.3960989	-2.0797718
chr17	75302150	human	-0.732918	1.3710182	-2.1039361999999997
chr17	75698950	human	-0.96583617	1.3423767	-2.30821287
chr17	77267500	human	1.025166	-2.32995	3.355116
chr17	78414400	human	-1.2994063	0.80607605	-2.10548235
chr17	82100000	human	-0.5826528	1.6266575	-2.2093103000000003
chr18	8775200	human	-0.89381003	1.1122842	-2.00609423
chr18	28956400	human	-1.042318	1.3437728	-2.3860908
chr18	30467050	human	-0.5875233	1.5005744	-2.0880977
chr18	33193000	human	-0.9794487	1.2782657	-2.2577144
chr18	47819500	human	-1.3383288	0.8966136	-2.2349424
chr18	47995050	human	-0.626228	1.8707906	-2.4970186
chr19	1898600	human	-0.7113743	1.8540249	-2.5653992
chr19	2080900	human	-0.9798322	1.0314854	-2.0113176
chr19	2597600	human	-0.65298414	1.6492555	-2.30223964
chr19	2928800	human	1.6285172	-1.8287005	3.4572177
chr19	6265750	human	-0.74157417	1.6317599	-2.3733340700000003
chr19	8413400	human	-1.0523548	1.0987731	-2.1511279
chr19	10263750	human	-0.52930605	1.9485631	-2.47786915
chr19	11308950	human	-1.2725626	0.9109987	-2.1835613
chr19	11370350	human	-0.6990663	1.4473454	-2.1464117
chr19	12657600	human	-0.8933604	1.150897	-2.0442574000000002
chr19	12957550	human	1.4312309	-1.2111961	2.642427
chr19	13175150	human	-1.2671478	0.9715949	-2.2387427
chr19	17856600	human	-0.7348064	1.4954134	-2.2302198
chr19	21529950	human	-0.60240734	1.48858	-2.09098734
chr19	21743000	human	-1.004021	1.0340681	-2.0380891
chr19	22247200	human	-1.2529731	0.9340546	-2.1870277
chr19	35933000	human	-0.94669163	1.0572258	-2.00391743
chr19	38048850	human	-0.70901585	1.956491	-2.66550685
chr19	38075850	human	-0.51246524	1.6406807	-2.15314594
chr19	40182300	human	-0.7123852	1.3782071	-2.0905923
chr19	40293900	human	-0.51778	1.6544906	-2.1722706
chr19	40367350	human	-0.64936787	1.5402029	-2.18957077
chr19	40794900	human	-0.57856107	1.8475761	-2.42613717
chr19	44886350	human	-1.2249453	0.87621224	-2.10115754
chr19	47578200	human	-0.9743779	1.0853924	-2.0597703
chr19	48080950	human	-0.5358544	1.9725853	-2.5084397
chr19	48753950	human	-0.56374	3.2843163	-3.8480563
chr19	48846200	human	-0.56613106	1.4756459	-2.04177696
chr19	49778900	human	-0.5272167	1.4728377	-2.0000544
chr19	52021500	human	-1.1189996	0.8987982	-2.0177978
chr19	53392750	human	-0.62582356	1.7170933	-2.34291686
chr19	53486200	human	-0.57803506	1.4817299	-2.05976496
chr19	54189550	human	-0.77251554	1.4646194	-2.23713494
chr19	55103900	human	-1.1838872	1.0652831	-2.2491703000000003
chr19	57083400	human	-0.71714616	2.5144157	-3.23156186
chr19	57644150	human	-0.5397413	2.0206265	-2.5603678
chr19	57784550	human	-0.88489604	1.2594337	-2.14432974
chr19	58100650	human	-1.0271529	1.0227058	-2.0498586999999997
chr19	58342750	human	-0.8153038	1.8723483	-2.6876521
chr2	2936600	human	-1.37594	0.79110837	-2.16704837
chr2	2936700	human	-2.0625057	0.8190118	-2.8815175
chr2	2936750	human	-1.4936222	0.5229098	-2.0165319999999998
chr2	2936850	human	-1.8385146	0.8872285	-2.7257431
chr2	2936900	human	-1.2119598	0.9405689	-2.1525287
chr2	2936950	human	-1.3396804	0.8368033	-2.1764837
chr2	2937100	human	-1.0744869	1.5870644	-2.6615513
chr2	2937150	human	-2.0334535	0.58466595	-2.61811945
chr2	8630400	human	-1.7025192	0.5485165	-2.2510357
chr2	13957700	human	-0.68809855	1.3321381	-2.02023665
chr2	15439050	human	-0.52780604	1.8135103	-2.3413163399999997
chr2	26168000	human	-0.5265769	1.6548567	-2.1814336
chr2	28426950	human	-0.8436129	1.3366715	-2.1802844
chr2	37966150	human	-0.5701605	1.9042588	-2.4744193
chr2	39398700	human	-0.8413079	1.1699996	-2.0113075
chr2	41109650	human	-1.1712376	1.5147915	-2.6860291
chr2	43888800	human	-0.597404	2.0320182	-2.6294222
chr2	55130500	human	-0.5943635	1.8265594	-2.4209229
chr2	61429050	human	-0.8214792	1.2567135	-2.0781927
chr2	61801250	human	-0.5938558	1.5605106	-2.1543664
chr2	62274400	human	-1.0198059	1.3073689	-2.3271748
chr2	73381300	human	-0.68275785	1.7039531	-2.3867109500000003
chr2	78995650	human	-0.5356561	2.3227453	-2.8584014
chr2	85056950	human	-0.88654006	1.979747	-2.86628706
chr2	91495350	human	-0.5912149	2.179296	-2.7705108999999997
chr2	96204300	human	-0.5972577	1.9628173	-2.560075
chr2	96905700	human	-1.1316178	1.4308821	-2.5624998999999997
chr2	105317200	human	-0.5011215	1.8740275	-2.375149
chr2	109987900	human	-1.7194343	0.555489	-2.2749233
chr2	112541400	human	-1.0520205	1.0834209	-2.1354414
chr2	150215650	human	-0.6394123	1.3832242	-2.0226365
chr2	150703300	human	-0.5319363	1.4847361	-2.0166724
chr2	151431550	human	-0.75832593	1.4366544	-2.19498033
chr2	152591850	human	-1.0124532	0.98889565	-2.00134885
chr2	159221100	human	-1.337733	0.7273394	-2.0650724
chr2	171831600	human	-0.69207895	1.3430835	-2.03516245
chr2	173391300	human	-0.9374187	1.2545907	-2.1920094
chr2	184919900	human	-0.5454654	1.6102698	-2.1557352
chr2	189452300	human	-0.5561334	2.3151817	-2.8713151000000003
chr2	196539400	human	-0.73899555	1.7745861	-2.51358165
chr2	199801700	human	-0.68001306	1.6085925	-2.28860556
chr2	202218700	human	-0.59283215	1.6891866	-2.2820187499999998
chr2	207788650	human	-0.873798	1.1898869	-2.0636849
chr2	213700850	human	-1.5017338	0.93964577	-2.44137957
chr2	216794350	human	-0.50708437	1.6573725	-2.16445687
chr2	218599200	human	-0.8665775	1.1511263	-2.0177038
chr2	225910050	human	-0.728835	1.3025134	-2.0313484
chr2	229150000	human	-0.5517938	2.2237544	-2.7755482
chr2	230367700	human	-0.96930146	1.5572568	-2.52655826
chr2	231636400	human	-0.66590655	1.4119573	-2.07786385
chr2	231817550	human	-1.3695786	0.67089736	-2.04047596
chr2	231975450	human	-0.6013723	1.5100037	-2.111376
chr2	232079350	human	-0.56280226	2.9507124	-3.5135146600000002
chr2	232706400	human	-0.9668299	1.9362166	-2.9030465000000003
chr2	233345800	human	-0.9700706	1.1124169	-2.0824875
chr2	236202550	human	-0.53693336	1.8316746	-2.36860796
chr2	239478150	human	-0.9714987	1.8066179	-2.7781166
chr2	242183300	human	-0.7751335	2.2082374	-2.9833708999999997
chr20	3736750	human	-0.56428957	2.0590408	-2.62333037
chr20	24913600	human	-1.1965259	0.80851376	-2.00503966
chr20	25235400	human	-0.5945347	2.7592907	-3.3538254000000003
chr20	25578550	human	-0.5848291	1.5543673	-2.1391964
chr20	26004450	human	-0.60747004	1.4334707	-2.04094074
chr20	30523350	human	-0.5477901	1.542122	-2.0899121
chr20	36840600	human	-0.57188785	2.0492089	-2.62109675
chr20	36946150	human	-0.706012	1.5832913	-2.2893033
chr20	49154600	human	-0.5436825	1.6335373	-2.1772198
chr20	49917800	human	-0.6144769	2.6620052	-3.2764821
chr20	53843200	human	-1.0051798	1.1212509	-2.1264307000000002
chr20	54171250	human	-0.882341	1.4767451	-2.3590861
chr20	54485050	human	-0.5184533	1.560055	-2.0785083
chr20	56947650	human	-1.366026	0.84296715	-2.20899315
chr20	56947700	human	-0.5760733	1.5107522	-2.0868254999999998
chr20	63815100	human	-1.6698709	0.50374395	-2.17361485
chr21	14636600	human	-0.80495834	1.4705606	-2.27551894
chr21	23330050	human	-0.6321765	1.4475725	-2.079749
chr21	25697650	human	-1.1344254	1.0558466	-2.190272
chr21	26252750	human	-0.55047214	2.4125767	-2.96304884
chr21	29573500	human	-0.68029845	1.6198134	-2.30011185
chr21	31032200	human	-0.59251004	1.7273275	-2.31983754
chr21	31624750	human	-0.5132878	1.7111312	-2.224419
chr21	33635750	human	-0.8703389	1.490264	-2.3606029
chr21	33795200	human	-1.0498238	1.2930003	-2.3428241
chr21	37589300	human	-0.9889039	1.0846343	-2.0735381999999998
chr21	41963050	human	1.2752855	-1.0104164	2.2857019000000003
chr21	45840200	human	-0.6353018	1.3978846	-2.0331864
chr22	16116800	human	-0.7475407	1.9626743	-2.710215
chr22	19102450	human	-0.57808954	1.7961853	-2.37427484
chr22	19211500	human	-0.5737021	1.8367045	-2.4104066
chr22	19532500	human	-0.5697654	1.8546414	-2.4244068
chr22	23555100	human	-0.6893406	1.8237612	-2.5131018000000003
chr22	24823350	human	-1.1073602	0.89485586	-2.00221606
